1,4,500,900
13,2,2679,4000
4,2,1924,14498
21,4,546,8705
16,4,2990,1645
15,5,219,8475
25,1,1586,8495
18,3,2021,3600
17,4,1617,9213
38,5,1152,18256
28,1,1651,10350
22,5,723,19745
1,5,2394,1283
25,4,2437,8236
15,1,147,16891
11,5,2636,13755
33,1,685,14525
16,5,1790,16668
25,5,1493,6705
34,1,1082,6350
37,5,2893,4916
4,1,306,12692
6,5,1776,14166
23,4,520,11737
11,3,709,14447
36,2,2661,12859
12,1,1504,12900
17,4,1591,2000
13,5,2789,8267
34,3,1145,19664
4,4,2131,15444
5,5,2524,7532
4,2,389,6134
40,2,2590,14038
16,4,869,9286
37,5,686,12885
31,4,1955,12766
26,3,1330,12214
12,3,2090,12015
24,1,2066,19474
30,4,1507,14283
21,4,845,13590
5,4,704,8781
29,3,1889,1969
12,4,2523,4655
15,1,2911,1165
11,1,416,6970
9,1,2725,9714
36,1,1627,11812
10,1,1797,18535
18,1,2970,8850
30,5,1816,11900
2,3,1858,19378
24,5,2730,1822
25,2,2747,13731
39,3,886,254
28,2,1681,14968
34,1,2462,2521
32,2,1819,3435
7,5,1837,8757
15,4,1330,10186
15,5,551,18692
11,1,951,12511
16,3,1392,5533
15,1,816,11587
26,3,892,1654
30,1,323,14721
38,3,473,15666
25,2,621,5025
5,3,85,3451
19,3,419,8009
29,2,1816,6491
38,4,1789,7623
25,3,2156,6199
26,4,732,9965
33,5,813,14082
28,3,2281,2403
30,4,514,19333
28,3,2677,16096
27,4,1825,9629
31,5,460,9713
15,1,1067,14933
2,4,343,582
40,5,100,1129
5,4,1609,17208
31,3,1030,2706
34,4,566,1928
29,2,2856,16167
6,1,1859,14291
20,5,599,13786
39,5,2801,5442
13,4,2936,7259
7,2,1185,2297
2,5,2233,19012
37,3,845,13499
31,3,1389,9397
7,2,1232,17471
5,3,806,17316
32,4,1091,14448
30,3,744,11296
17,5,1986,5801
23,3,947,18143
14,2,878,4125
8,3,246,9149
9,2,2368,777
21,4,2834,6703
14,1,2889,15200
1,1,2661,10218
9,2,2938,16187
9,4,2085,17961
1,4,440,10559
27,3,596,12695
39,1,2579,8684
30,1,1772,10173
28,4,2348,8190
36,1,1658,2252
36,4,1212,2669
4,4,2796,13285
33,1,414,17868
15,1,1269,4419
40,2,442,8019
15,3,2329,19146
40,2,2083,7424
24,1,1283,11990
17,3,2109,10354
35,4,2007,15553
12,5,1795,16985
38,4,2718,14069
37,2,1627,18013
2,2,1489,14213
1,1,2857,9881
6,1,1701,10693
12,2,243,7036
40,5,1996,7754
32,2,172,8659
8,2,2269,4707
11,2,2384,2442
16,3,2098,9766
12,4,2172,11304
2,2,1968,187
35,1,2199,14742
40,2,2354,17765
36,3,836,13410
23,4,554,4181
40,3,1335,7672
11,2,1036,5928
19,2,63,62
37,1,714,11123
17,3,121,6104
2,4,1728,1446
6,4,2044,18240
22,2,2205,12479
15,4,2037,5909
16,2,447,1946
4,3,2315,4158
37,1,1199,17460
19,5,506,15878
12,5,2806,2477
1,4,2282,9468
29,2,2181,6693
25,4,715,13010
24,1,1447,16448
10,3,1977,19232
15,2,1277,15942
26,4,2295,9805
16,1,2087,17905
14,5,558,9617
17,4,785,3759
20,2,1189,7903
22,4,330,15976
32,5,634,14008
29,3,2684,5512
23,1,303,5021
14,1,1877,8775
10,3,2116,12890
23,4,1172,3161
36,1,1087,13635
2,1,538,9001
21,4,1783,7778
7,4,2309,1525
5,4,598,13551
11,3,1917,18327
24,5,2466,18709
28,5,847,2464
30,3,2949,11947
39,5,1481,10689
34,5,1276,19604
28,2,1518,2840
38,4,2388,10165
33,2,2721,10883
24,1,1054,9625
5,5,2481,7603
19,1,1829,1606
29,3,1933,19864
15,2,564,4818
9,1,1242,12422
1,5,1716,8360
31,1,1012,19078
17,2,2909,4195
23,5,2407,11236
12,3,340,5212
15,4,501,8381
1,3,1642,3669
24,1,941,7525
7,1,242,11996
39,5,967,10078
31,2,2861,18328
31,3,363,2185
6,2,449,9577
32,4,2569,1179
18,2,664,18403
5,1,773,10730
23,5,1914,18873
7,3,1768,19162
28,3,2304,10123
14,3,2852,12576
21,4,1222,2752
21,4,743,4341
21,1,1911,4472
31,3,1527,2788
22,3,2920,9237
34,4,100,13650
32,2,2523,10018
1,3,1209,17804
23,2,561,4108
10,5,106,16142
15,5,446,4371
1,4,1324,17941
25,4,2242,5353
15,3,1476,9272
19,5,798,18499
16,1,2824,18051
1,3,1940,9088
4,2,165,19101
33,3,1274,12530
13,2,2061,12423
19,2,1358,574
6,2,1480,13890
2,1,2589,2053
36,4,2042,8248
19,5,2822,17207
2,5,2055,18459
37,1,2516,13173
27,1,711,3579
26,5,2567,8551
25,3,288,8631
19,1,2983,1708
18,1,74,3696
34,1,915,16756
38,2,698,16415
37,4,1038,16812
17,5,762,9156
36,3,685,10661
4,3,1095,1978
39,1,1327,14587
2,5,1739,9924
6,1,1108,4192
18,1,2111,19405
12,4,2501,13542
20,5,2403,10079
22,1,1754,19892
26,2,2539,3422
27,2,103,16288
3,2,2485,5839
14,1,482,3174
16,2,1131,18425
16,5,330,14877
40,4,1856,4776
6,5,755,13328
3,2,82,14311
34,2,1832,1172
10,3,1292,6168
25,2,1140,4298
29,2,1805,10835
20,1,268,9541
3,4,2941,3727
9,4,1141,1403
29,4,2836,5773
36,3,1541,8968
39,4,1258,559
13,5,287,12941
11,2,1431,9917
33,2,2427,6673
19,5,844,10077
33,3,837,17490
16,4,1558,9107
18,5,2088,6697
10,4,2317,19219
8,2,361,885
2,1,668,17563
16,1,1159,6413
18,2,2740,16255
39,1,342,6883
17,1,215,14712
2,3,1204,5226
12,4,2729,736
16,3,2683,6225
24,2,887,9855
36,5,2883,5988
19,2,406,16890
6,3,2064,7232
